step ,elapsed_tokens ,elapsed_examples ,training_loss         ,training_sequence_accuracy ,training_token_accuracy ,validation_loss       ,validation_sequence_accuracy ,validation_token_accuracy ,classification/accuracy ,classification/weighted_f1_score
  84 ,        204320 ,             672 ,0.01079957920565999   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  85 ,        206568 ,             680 ,0.02100613056099041   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  86 ,        209200 ,             688 ,0.013863467745409372  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
  87 ,        212664 ,             696 ,0.010831228259292289  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  88 ,        215808 ,             704 ,0.012912338941962101  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  89 ,        217928 ,             712 ,0.015673362508092228  ,                     0.875 ,                  0.875 ,0.018065929258346596  ,                       0.875 ,                    0.875 ,                        ,
  90 ,        221264 ,             720 ,0.010859869419681072  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  91 ,        224152 ,             728 ,0.012046078408159775  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  92 ,        226592 ,             736 ,0.018082562827708596  ,                     0.625 ,                  0.625 ,                      ,                             ,                          ,                        ,
  93 ,        228776 ,             744 ,0.012460602558247446  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  94 ,        231600 ,             752 ,0.012704706937332676  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  95 ,        234360 ,             760 ,0.014909065612163774  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  96 ,        237824 ,             768 ,0.01175337660213566   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  97 ,        239368 ,             776 ,0.0264515855548393    ,                     0.625 ,                  0.625 ,0.012991389983584374  ,                       0.875 ,                    0.875 ,                        ,
  98 ,        241296 ,             784 ,0.015660059459327694  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  99 ,        243032 ,             792 ,0.022572079177304367  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 100 ,        246176 ,             800 ,0.00845931436297851   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
