step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
335,1352632,2680,0.005323264604658023,0.875,0.875,,,,,
336,1356416,2688,0.010458802994499075,0.75,0.75,,,,,
337,1360520,2696,0.01160141237161915,0.875,0.875,0.008293838735683215,0.5,0.5,,
338,1364304,2704,0.011922570093226373,0.875,0.875,,,,,
339,1367960,2712,0.00846747799832718,0.75,0.75,,,,,
340,1372256,2720,0.010216087558280197,0.5,0.5,,,,,
341,1375848,2728,0.009204083154106119,0.75,0.75,,,,,
342,1380784,2736,0.008131103087228225,0.875,0.875,,,,,
343,1387384,2744,0.006341313438522845,0.875,0.875,,,,,
344,1391680,2752,0.008456858834613138,0.625,0.625,,,,,
345,1396488,2760,0.006363603523205467,1.0,1.0,0.007332166428547644,0.875,0.875,,
346,1399696,2768,0.005419791697954524,0.875,0.875,,,,,
347,1402392,2776,0.014776572794373163,0.375,0.375,,,,,
348,1405792,2784,0.012196027701411535,0.625,0.625,,,,,
349,1409256,2792,0.00958338520132552,0.875,0.875,,,,,
350,1414384,2800,0.007919209941210004,0.75,0.75,,,,,
351,1416376,2808,0.009709999343248408,0.75,0.75,,,,,
352,1421440,2816,0.005400560114949702,1.0,1.0,,,,,
353,1424776,2824,0.009285556413837374,1.0,1.0,0.009810039975190126,0.625,0.625,,
354,1428048,2832,0.007652980510591631,0.875,0.875,,,,,
355,1433624,2840,0.010036100208918857,0.875,0.875,,,,,
356,1437856,2848,0.00741690872991999,0.875,0.875,,,,,
357,1442344,2856,0.009324885103018165,0.5,0.5,,,,,
358,1445104,2864,0.008219317433635883,0.875,0.875,,,,,
359,1448184,2872,0.006554067784529914,1.0,1.0,,,,,
360,1451136,2880,0.010722655221574619,0.875,0.875,,,,,
361,1455112,2888,0.012060820289129184,0.75,0.75,0.011308825382280096,0.75,0.75,,
362,1459280,2896,0.01140532171332655,0.75,0.75,,,,,
363,1463576,2904,0.007294846654080171,0.875,0.875,,,,,
364,1466400,2912,0.010045689026858526,0.75,0.75,,,,,
365,1470376,2920,0.008382250775916453,0.75,0.75,,,,,
366,1474480,2928,0.009145397899169572,0.875,0.875,,,,,
367,1478776,2936,0.008788676067027061,0.875,0.875,,,,,
368,1482432,2944,0.011470576450426373,0.375,0.375,,,,,
369,1485960,2952,0.009457498340521257,0.75,0.75,0.009251177868272415,0.625,0.625,,
370,1489872,2960,0.008365962181830104,0.75,0.75,,,,,
371,1493400,2968,0.00752797115818569,0.75,0.75,,,,,
372,1497888,2976,0.007845595138991905,1.0,1.0,,,,,
373,1502184,2984,0.008766469934084071,0.875,0.875,,,,,
374,1505840,2992,0.014137109665090786,0.375,0.375,,,,,
375,1509496,3000,0.008716355733897235,0.75,0.75,,,,,
376,1513088,3008,0.008642850198396772,0.75,0.75,,,,,
377,1518856,3016,0.006085774996987648,1.0,1.0,0.00813655643665327,0.875,0.875,,
378,1523472,3024,0.008075122307127867,0.875,0.875,,,,,
379,1528984,3032,0.008830154796865664,0.875,0.875,,,,,
380,1533856,3040,0.0077953850193221135,0.875,0.875,,,,,
381,1536872,3048,0.0070458755092579015,1.0,1.0,,,,,
382,1542896,3056,0.01011213270713301,0.875,0.875,,,,,
383,1547192,3064,0.007682451505641816,1.0,1.0,,,,,
384,1550080,3072,0.009527829407039294,0.875,0.875,,,,,
385,1554568,3080,0.011090952008180492,0.75,0.75,0.00857106375642135,0.75,0.75,,
386,1558096,3088,0.007458699473255925,0.875,0.875,,,,,
387,1564056,3096,0.007412881118019296,1.0,1.0,,,,,
388,1568096,3104,0.005908132226479552,0.625,0.625,,,,,
389,1571816,3112,0.006504566218835673,0.75,0.75,,,,,
390,1575728,3120,0.008057631331894305,0.875,0.875,,,,,
391,1578808,3128,0.009864450302057895,0.75,0.75,,,,,
392,1582912,3136,0.0069865317674808495,0.75,0.75,,,,,
393,1587208,3144,0.007108246804741928,1.0,1.0,0.009960980795986717,0.5,0.5,,
394,1590800,3152,0.009185869574237558,0.625,0.625,,,,,
395,1595032,3160,0.0040692764475606085,0.75,0.75,,,,,
396,1597920,3168,0.006607585584256144,1.0,1.0,,,,,
397,1600936,3176,0.007781206149584337,0.875,0.875,,,,,
398,1605296,3184,0.007273371203654371,0.625,0.625,,,,,
399,1609272,3192,0.008625525645413053,0.75,0.75,,,,,
400,1612800,3200,0.009780122214374947,0.875,0.875,,,,,
401,1616328,3208,0.00788254161895751,0.75,0.75,0.009182551522009015,0.875,0.875,,
402,1620432,3216,0.008047052481402608,0.875,0.875,,,,,
403,1623704,3224,0.01318712805727739,0.875,0.875,,,,,
404,1626976,3232,0.006484265538420302,0.75,0.75,,,,,
405,1632168,3240,0.007347354765830412,0.875,0.875,,,,,
406,1637936,3248,0.004681570480336976,0.875,0.875,,,,,
407,1641720,3256,0.008148660293890003,0.75,0.75,,,,,
408,1645248,3264,0.009008625225974893,1.0,1.0,,,,,
409,1649160,3272,0.008289603825552824,1.0,1.0,0.00712702066672484,0.625,0.625,,
410,1654160,3280,0.005140483243669669,0.875,0.875,,,,,
411,1658520,3288,0.00696046825894078,0.875,0.875,,,,,
412,1662624,3296,0.0070213885490839475,0.625,0.625,,,,,
413,1666536,3304,0.006991396682396776,0.625,0.625,,,,,
414,1669936,3312,0.009077239561210646,0.875,0.875,,,,,
415,1674552,3320,0.005111986542703319,1.0,1.0,,,,,
416,1679808,3328,0.007426729070721337,0.75,0.75,,,,,
417,1684168,3336,0.01020056235258483,0.625,0.625,0.008736045942128953,0.875,0.875,,
418,1688144,3344,0.01142967293217574,0.75,0.75,,,,,
419,1692376,3352,0.007548148501316694,1.0,1.0,,,,,
420,1696032,3360,0.007608811861984641,0.75,0.75,,,,,
421,1700840,3368,0.0054025325196229435,0.875,0.875,,,,,
422,1705456,3376,0.008680064497563138,0.625,0.625,,,,,
423,1712120,3384,0.00863101104563144,0.375,0.375,,,,,
424,1714816,3392,0.012011743366582929,0.875,0.875,,,,,
425,1719432,3400,0.00747817264392459,0.75,0.75,0.004915441119817484,1.0,1.0,,
426,1722768,3408,0.009031026121719432,0.75,0.75,,,,,
